번호,번호2,학년-반-번호,자료명,저자명,청구기호,대출일,반납일
1,A100143,,저가 항공 세계일주,강지준 지음,980.24 강78ㅈ,2012.09.26,2013.01.04
2,A100143,,비행운,김애란 지음,813.6 김63ㅂ,2012.09.26,2013.01.02
3,A100212,,라쇼몽,아쿠타가와 류노스케 지음;김영식 옮김,100 833.6 아876ㄹ,2012.12.31,2013.02.08
4,A100321,,장외인간. 2,이외수 지음,813.6 이65ㅈ v.2,2013.02.04,2013.02.07
5,A100321,,장외인간. 2,이외수 지음,813.6 이65ㅈ v.2,2013.02.04,2013.02.04
6,A100321,,장외인간. 1,이외수 지음,813.6 이65ㅈ v.1,2013.02.04,2013.02.07
7,A100321,,바이퍼케이션. 1,이우혁 지음,813.6 이66ㅂ v.1,2013.02.04,2013.02.07
8,A100321,,바이퍼케이션. 2,이우혁 지음,813.6 이66ㅂ v.2,2013.02.04,2013.02.07
9,A100321,,(오주석의)옛 그림 읽기의 즐거움. 1,오주석 지음,100 653.11 오76ㅇ v.1,2013.02.04,2013.02.04
10,A100321,,바이퍼케이션. 3,이우혁 지음,813.6 이66ㅂ v.3,2013.02.04,2013.02.07
11,A100321,,생각의 탄생,"로버트 루트번스타인, 미셸 루트번스타인 지음;박종성 옮김",181.53 루887ㅅ c.4,2013.02.07,2013.02.07
12,A100475,,"모든 일의 발단은, 고양이",질 맥클린 지음;서소울 옮김,843 맥877ㅁ,2013.03.12,2013.03.12
13,A100475,,피로사회,한병철 지음;김태환 옮김,104 한44ㅍ,2013.03.18,2013.03.18
14,A100475,,피로사회,한병철 지음;김태환 옮김,104 한44ㅍ,2013.03.18,2013.03.18
15,A100475,,황홀한 글감옥,조정래 지음,고 814.6 조73ㅎ,2013.03.22,2013.03.22
16,A100321,,백석시의 심층적 탐구,이숭원 지음,811.609 이56ㅂ,2013.03.25,2013.05.21
17,A100321,,도둑맞은 가난,박완서 지음,100 813.6 박65ㄷ,2013.03.25,2013.05.21
18,A100321,,입학사정관제,조훈;태은경 지음,,2013.03.25,2013.05.21
19,A100321,,글쓰기 표현사전,장하늘 지음,802 장92ㄱ,2013.03.25,2013.05.21
20,A100321,,글쓰기의 전략,정희모;이재성 [공]지음,802 정97ㄱ,2013.03.25,2013.05.21
21,A100321,,누구에게나 이야기는 있다,이문영 지음,802.3 이36ㄴ,2013.03.25,2013.05.21
22,A100212,,(소설)등신불 2. 2,석용산,,2013.03.27,2013.04.04
23,A100212,,(소설)등신불 1. 1,석용산,,2013.03.27,2013.04.04
24,A100067,,죽을 때 후회하는 스물다섯 가지,오츠 슈이치 지음;황소연 옮김,,2013.04.09,2013.04.23
25,A100079,,대한민국 걷기 좋은 길 111,한국여행작가협회 지음,981.102 한16ㄷ,2013.04.09,2013.07.19
26,A100135,,김약국의 딸들,박경리 지음,100 813.6 김63 c.4,2013.04.09,2013.04.23
27,A100158,,내 심장을 쏴라,정유정 지음,813.6 정66ㄴ c.2,2013.04.09,2013.04.23
28,A100174,,(공지영의) 지리산 행복학교,공지영 지음,,2013.04.09,2013.04.12
29,A100212,,(소설)등신불 2. 2,석용산,,2013.04.09,2013.05.07
30,A100245,,순이,이경자 지음,813.6 이14ㅅ,2013.04.09,2013.04.12
31,A100245,,서울 Seoul 여행사전,"김숙현,김우선,김희은,박동식,유연태,유정열,이동미,정철훈,황교익 공저",,2013.04.09,2013.04.12
32,A100262,,칼의 노래,김훈 지음,813.6 김96ㅋ c.3,2013.04.09,2013.10.22
33,A100433,,유배지에서 보낸 편지,정약용 지음;박석무 편역,,2013.04.09,2013.04.23
34,A100245,,사랑과 상처. 2,이경자 지음,813.6 이14ㅅ v.2,2013.04.11,2013.04.15
35,A100245,,사랑과 상처. 1,이경자 지음,813.6 이14ㅅ v.1,2013.04.11,2013.04.15
36,A100017,,행복은 혼자 오지 않는다,에카르트 폰 히르슈하우젠 지음;박규호 옮김,199.1 히297ㅎ c.2,2013.05.14,2013.07.09
37,A100017,,사랑은 어디로 가는가,에카르트 폰 히르슈하우젠 지음;박규호 옮김,189.1 히297ㅅ,2013.05.14,2013.07.09
38,A100321,,(슈퍼 탤런트로 키워줄)탤런트 연기수업,김석호 지음,681.6 김54ㅌ,2013.05.21,2013.07.08
39,A100321,,"나,황진이",김탁환 지음;백범영 그림,813.6 김882ㄴ,2013.05.21,2013.07.08
40,A100321,,( 이 책 잘 읽으면) 소설가 된다. 1,주조 쇼헤이 지음;윤성원 옮김,802.3 주75ㅅ v.1,2013.05.21,2013.07.08
41,A100321,,문장강화,이태준 지음,802 이883ㅁ,2013.05.21,2013.07.08
42,A100321,,연극화술의 이론과 실제,유승희 지음,681.6 유57ㅇ,2013.05.21,2013.07.08
43,A100108,,모차르트 오마주,김미경 지음,670.15 김38ㅁ,2013.05.28,2013.06.11
44,A100156,,두려움에게 인사하는 법,김이윤 지음,808.9 창48 v.43,2013.06.11,2013.06.25
45,A100158,,동백꽃,김유정 지음,810 김66ㄷ,2013.06.11,2013.07.09
46,A100325,,(핀켈슈타인의) 우리는 너무 멀리 갔다,노먼 G. 핀켈슈타인 지음;김영진 옮김,918.63 핀94ㅇ,2013.06.11,2013.06.18
47,A100433,,두려움에게 인사하는 법,김이윤 지음,808.9 창48 v.43 c.2,2013.06.11,2013.06.25
48,A100475,,처음 읽는 서양 철학사,안광복 지음,,2013.06.11,2013.07.03
49,A100067,,글쓰기 표현사전,장하늘 지음,802 장92ㄱ,2013.06.25,2013.09.03
50,A100092,,너는 젊다는 이유 하나로 사랑받기에 충분하다,김인숙 글;임종진 사진,818 김68ㄴ,2013.06.25,2013.07.08
51,A100108,,(네가 어떤 삶을 살든) 나는 너를 응원할 것이다,공지영 지음,814.6 공78ㄴ,2013.06.25,2013.07.09
52,A100254,,생각의 일요일들,은희경 지음,814.6 은97ㅅ,2013.06.25,2013.07.03
53,A100475,,오래된 서울,최종현;김창희 [공]지음,911.6 최75ㅇ,2013.06.26,2013.06.27
54,A100158,,우리들의 짭조름한 여름날,오채 지음,813.6 오82ㅇ,2013.07.09,2013.07.12
55,A100238,,10대 꿈을 이루어주는 8가지 법칙,김태광 지음,190 김883ㅅ,2013.08.05,2013.08.08
56,A100297,,두근두근 내 인생,김애란 지음,813.6 김63ㄷㄴ,2013.08.08,2013.08.20
57,A100297,,(21세기) 먼나라 이웃나라. 9: 우리나라,이원복 글·그림,909 이66ㅁ v.9c.2,2013.08.08,2013.08.20
58,A100297,,호감의 법칙,프랑크 나우만 지음;이기숙 옮김,331.18 나66ㅎ,2013.08.08,2013.08.20
59,A100321,,기초 연기 수업,안재범 지음,681.6 안73ㄱ,2013.08.28,2014.02.14
60,A100321,,자유로운 연극 독백. 2: 여자 모놀로그 편,허용호 엮음,681.6 허65ㅈ v.2,2013.08.28,2014.02.14
61,A100475,,오래된 정원. 하,황석영 지음,813.704 황54ㅇ v.하,2013.09.17,2013.10.02
62,A100475,,채근담,이기석 지음,,2013.09.24,2013.10.11
63,A100475,,닭이 봉황 되다,최창조 지음,188.4 최82ㄷ,2013.09.24,2013.10.11
64,A100475,,그치지 않는 비,오문세 지음,813.7 오36ㄱ,2013.10.15,2013.12.04
65,A100068,,핀란드 교사는 무엇이 다른가,마스다 유리야 지음;최광렬 옮김,370.9236 마57ㅍ,2013.11.04,2013.11.11
66,A100321,,궁에는 개꽃이 산다. 2,윤태루 지음,813.6 윤883ㄱ v.2,2013.11.29,2013.11.29
67,A100475,,매월당 김시습,이문구 지음,813.6 이36ㅁ,2013.12.24,2014.01.03
68,A100475,,진로 직업 365,학교도서관저널 도서추천위원회 엮음,372.68 학15ㅈ,2013.12.24,2014.02.13
69,A100475,,감정은 습관이다,박용철 지음,,2013.12.24,2014.01.03
70,A100483,,우아한 거짓말,김려령 지음,100 813.6 김294ㅇ c.5,2014.01.09,2014.01.17
71,A100158,,외딴방,신경숙 지음,813.6 신14ㅇ,2014.01.17,2014.02.10
72,A100158,,우아한 거짓말,김려령 지음,100 813.6 김294ㅇ c.5,2014.01.17,2014.02.10
73,A100158,,바이올렛,신경숙 지음,813.6 신14ㅂ,2014.02.10,2014.03.05
74,A100475,,한국십진분류법 제5판. 2: 상관색인,한국도서관협회 펴냄,024.41 한16ㅎ v.2,2014.03.03,2014.03.03
75,A100475,,위저드 베이커리,구병모 지음,813.6 구44ㅇ,2014.03.03,2014.03.03
76,A100475,,위저드 베이커리,구병모 지음,813.6 구44ㅇ,2014.03.03,2014.03.03
77,A100475,,(한 권으로 읽는)장자의 지혜,유인태 엮음,,2014.03.05,2014.03.05
78,A100161,,수학교과서와 함께 보는 종이접기,김부윤;강선영 [공]저,634.9 김46ㅅ,2014.03.18,2014.04.02
79,A100161,,리락쿠마 종이접기,테라니시에리코종이접기 디자인;강현정 옮김,634.9 디72ㄹ,2014.03.18,2014.04.02
80,A100161,,(재미있는) 수학퍼즐. 1,박형빈;이헌수 [같이] 지음,410 박94ㅅ v.1,2014.03.18,2014.04.02
81,A100475,,(DELE 기출 문제를 이용한)숙어와 동사적 표현 모음집,조혜진 지음,745 조94ㅅ,2014.03.19,2014.04.04
82,A100321,,"공자와 손자, 역사를 만들고 시대에 답하다",신정근 지음,912 신74ㄱ,2014.03.21,2014.05.07
83,A100475,,"엄마, 일단 가고봅시다!",태원준 지음,980.24 태66ㅇ,2014.03.24,2014.04.21
84,A100161,,여행의 기술,알랭 드 보통 지음;정영목 옮김,980.2 보885ㅇ,2014.03.25,2014.04.02
85,A100161,,"왜 사느냐면, 제주도에",허수경 지음,981.19902 허56ㅇ,2014.03.25,2014.04.02
86,A100158,,연을 쫓는 아이,할레드 호세이니 지음;이미선 옮김,100 843 호54ㅇ c.2,2014.05.13,2014.05.20
87,A100357,,왜 책을 읽는가,샤를 단치 지음;임명주 옮김,029 단86ㅇ,2014.05.13,2014.05.20
88,A100483,,북경예술견문록,김도연 지음,609.12 김25ㅂ,2014.05.13,2014.12.23
89,A100475,,뭘 해도 괜찮아,이남석 지음,372 이192ㅁ c.3,2014.05.19,2014.05.19
90,A100521,,더 스크랩,무라카미 하루키 지음 ;권남희 옮김,834 무292ㄷ,2014.05.22,2014.07.08
91,A100521,,제3인류. 1,베르나르 베르베르 지음;이세욱 옮김,863 베297ㅈ v.1,2014.05.26,2014.07.01
92,A100357,,연을 쫓는 아이,할레드 호세이니 지음;이미선 옮김,100 843 호54ㅇ c.3,2014.05.29,2014.06.09
93,A100374,,자전거 도둑,김소진 지음,813.6 김55ㅈ,2014.05.29,2014.06.12
94,A100494,,제7의 감각,윌리엄 더건 지음;윤미나 옮김,,2014.06.03,2014.06.03
95,A100374,,미칠 수 있겠니,김인숙 지음,813.6 김68ㅁ,2014.06.12,2014.07.03
96,A100374,,꽃피는 고래,김형경 지음,813.6 김94ㄲㄱ c.3,2014.06.12,2014.07.03
97,A100494,,공사장의 피아니스트,나윤아 지음,813.7 나66ㄱ,2014.06.13,2014.06.16
98,A100374,,가미가제 독고다이,김별아 지음,813.6 김44ㄱ c.2,2014.07.03,2014.07.10
99,A100521,,왕자 이우,김종광 지음,813.6 김75ㅇ,2014.07.08,2014.09.03
100,A100085,,구해줘,기욤 뮈소 지음;윤미연 옮김,863 뮈55ㄱ,2014.07.09,2014.07.17
101,A100494,,옛 그림을 따라 걷는 서울길,최열 지음,981.16 최64ㅇ,2014.07.10,2014.07.21
102,A100006,,뉴문,크리스 웨이츠 감독,688.2 웨69ㄴ,2014.07.14,2014.07.18
103,A100006,,그린존,폴 그린그래스 감독,688.2 그298ㄱ,2014.07.14,2014.07.14
104,A100006,,트와일라잇,캐서린 하드윅 감독,688.2 하26ㅌ,2014.07.14,2014.07.18
105,A100006,,아프리카의 눈물. 1: 1부·2부,장형원;한학수 [공]연출;이정식 프로듀서,983 장94ㅇ v.1,2014.07.14,2014.07.18
106,A100374,,바이올렛,신경숙 지음,813.6 신14ㅂ,2014.07.31,2014.08.07
107,A100374,,모르는 여인들,신경숙 지음,813.6 신14ㅁ,2014.07.31,2014.08.07
108,A100374,,미국의 아들. 2,리처드 라이트 지음;김영희 옮김,고      808 창48ㅊ v.2,2014.07.31,2014.08.07
109,A100374,,도미노 구라파식 이층집,박선희 지음,813.7 박54ㄷ,2014.08.21,2014.08.28
110,A100374,,"웰컴, 마이 퓨처",양호문 글,813.7 양95ㅇ,2014.08.21,2014.08.28
111,A100374,,까마귀. 1: 조국의 딸,한수산 지음,813.6 한56ㄲ v.1,2014.08.21,2014.09.04
112,A100384,,한자능력검정시험 3급,강태입 [외]저,,2014.08.21,2014.09.25
113,A100374,,까마귀. 3: 흙과 무지개,한수산 지음,813.6 한56ㄲ v.3,2014.08.28,2014.09.04
114,A100230,,내가 알고 있는 걸 당신도 알게 된다면,칼 필레머 지음;박여진 옮김,199.1 필294ㄴ c.2,2014.09.02,2014.12.09
115,A100139,,서울 Seoul 여행사전,"김숙현,김우선,김희은,박동식,유연태,유정열,이동미,정철훈,황교익 공저",,2014.09.03,2014.09.15
116,A100374,,A,하성란 지음,813.6 하54ㅇ c.2,2014.09.04,2014.09.11
117,A100374,,낯익은 타인들의 도시,최인호 지음,,2014.09.04,2014.09.11
118,A100494,,(한권으로 읽는) 조선왕조실록,박영규 지음,,2014.09.05,2014.10.02
119,A100374,,빨간 장화,에쿠니 가오리 지음;신유희 옮김,833.6 에876ㅃ,2014.09.11,2014.09.18
120,A100374,,그녀에 대하여,요시모토바나나 글;김난주 옮김,833.6 요58ㄱ c.2,2014.09.11,2014.09.18
121,A100374,,강남몽,황석영 지음,813.6 황54ㄱ c.2,2014.09.11,2014.09.18
122,A100374,,안녕 시모키타자와,요시모토 바나나 지음;김난주 옮김,833.6 요58ㅇ,2014.09.11,2014.09.18
123,A100374,,강남몽,황석영 지음,813.6 황54ㄱ c.2,2014.09.11,2014.09.11
124,A100127,,(趙廷來 大河小設)太白山脈 . 2 제1부 : 恨의 모닥불,조정래 지음,고 813.6 조73ㅌ v.2 제1부,2014.09.12,2014.09.18
125,A100017,,가장 오래된 교양,크리스틴 스웬슨 지음;김동혁 옮김,233 스66ㄱ,2014.09.15,2014.09.15
126,A100374,,정글만리. 2,조정래 지음,813.6 조74ㅈ v.2  c.2,2014.09.18,2014.10.02
127,A100374,,정글만리. 1,조정래 지음,813.6 조74ㅈ v.1  c.2,2014.09.18,2014.10.02
128,A100374,,개 같은 날은 없다,이옥수 지음,813.6 이65ㄱ,2014.09.18,2014.10.02
129,A100374,,별이 차가운 밤이면,[이병주 지음];김윤식;김종회 [같이] 엮음,,2014.09.18,2014.10.02
