저가 항공 세계일주,0,3,1,100,13980,2012.09.26,2013.01.04,A100143
비행운,0,3,1,98,3810,2012.09.26,2013.01.02,A100143
라쇼몽,0,2,1,39,3830,2012.12.31,2013.02.08,A100212
장외인간. 2,1,2,0,3,4810,2013.02.04,2013.02.07,A100321
장외인간. 2,1,2,0,0,4810,2013.02.04,2013.02.04,A100321
장외인간. 1,1,2,0,3,4810,2013.02.04,2013.02.07,A100321
바이퍼케이션. 1,1,2,0,3,4810,2013.02.04,2013.02.07,A100321
바이퍼케이션. 2,1,2,0,3,4810,2013.02.04,2013.02.07,A100321
(오주석의)옛 그림 읽기의 즐거움. 1,1,2,0,0,4810,2013.02.04,2013.02.04,A100321
바이퍼케이션. 3,1,2,0,3,4810,2013.02.04,2013.02.07,A100321
생각의 탄생,1,2,0,0,3180,2013.02.07,2013.02.07,A100321
"모든 일의 발단은, 고양이",0,1,0,0,3840,2013.03.12,2013.03.12,A100475
피로사회,0,1,0,0,3100,2013.03.18,2013.03.18,A100475
황홀한 글감옥,0,1,0,0,3810,2013.03.22,2013.03.22,A100475
백석시의 심층적 탐구,1,2,1,57,93810,2013.03.25,2013.05.21,A100321
도둑맞은 가난,1,2,1,57,83810,2013.03.25,2013.05.21,A100321
입학사정관제,1,2,1,57,2300,2013.03.25,2013.05.21,A100321
글쓰기 표현사전,1,2,1,57,3710,2013.03.25,2013.05.21,A100321
글쓰기의 전략,1,2,1,57,3800,2013.03.25,2013.05.21,A100321
누구에게나 이야기는 있다,1,2,1,57,43800,2013.03.25,2013.05.21,A100321
(소설)등신불 2. 2,0,2,0,8,3810,2013.03.27,2013.04.04,A100212
(소설)등신불 1. 1,0,2,0,8,3810,2013.03.27,2013.04.04,A100212
죽을 때 후회하는 스물다섯 가지,0,1,0,14,3180,2013.04.09,2013.04.23,A100067
대한민국 걷기 좋은 길 111,0,3,1,101,13980,2013.04.09,2013.07.19,A100079
김약국의 딸들,1,3,0,14,74810,2013.04.09,2013.04.23,A100135
내 심장을 쏴라,0,2,0,14,3810,2013.04.09,2013.04.23,A100158
(공지영의) 지리산 행복학교,1,1,0,3,3810,2013.04.09,2013.04.12,A100174
(소설)등신불 2. 2,0,2,1,28,3810,2013.04.09,2013.05.07,A100212
순이,1,3,0,3,3810,2013.04.09,2013.04.12,A100245
서울 Seoul 여행사전,1,3,0,3,13980,2013.04.09,2013.04.12,A100245
칼의 노래,1,1,1,196,3810,2013.04.09,2013.10.22,A100262
유배지에서 보낸 편지,0,3,0,14,3810,2013.04.09,2013.04.23,A100433
사랑과 상처. 2,1,3,0,4,3810,2013.04.11,2013.04.15,A100245
사랑과 상처. 1,1,3,0,4,3810,2013.04.11,2013.04.15,A100245
행복은 혼자 오지 않는다,1,3,1,56,3320,2013.05.14,2013.07.09,A100017
사랑은 어디로 가는가,1,3,1,56,3320,2013.05.14,2013.07.09,A100017
(슈퍼 탤런트로 키워줄)탤런트 연기수업,1,2,1,48,93680,2013.05.21,2013.07.08,A100321
"나,황진이",1,2,1,48,4810,2013.05.21,2013.07.08,A100321
( 이 책 잘 읽으면) 소설가 된다. 1,1,2,1,48,3800,2013.05.21,2013.07.08,A100321
문장강화,1,2,1,48,4800,2013.05.21,2013.07.08,A100321
연극화술의 이론과 실제,1,2,1,48,3810,2013.05.21,2013.07.08,A100321
모차르트 오마주,1,2,0,14,3800,2013.05.28,2013.06.11,A100108
